Timestamp(ms),Intensity,Winning Status
1.66E+12,0.607852412,0.376476333
1.66E+12,0.607852412,0.38431959
1.66E+12,0.607852412,0.38431959
1.66E+12,0.607852412,0.380397961
1.66E+12,0.607852412,0.38431959
1.66E+12,0.607852412,0.400006104
1.66E+12,0.603930784,0.443144017
1.66E+12,0.603930784,0.454908902
1.66E+12,0.603930784,0.454908902
1.66E+12,0.600009156,0.454908902
1.66E+12,0.600009156,0.454908902
1.66E+12,0.600009156,0.454908902
1.66E+12,0.603930784,0.454908902
1.66E+12,0.603930784,0.454908902
1.66E+12,0.603930784,0.450987274
1.66E+12,0.600009156,0.450987274
1.66E+12,0.568636128,0.450987274
1.66E+12,0.568636128,0.450987274
1.66E+12,0.568636128,0.447065645
1.66E+12,0.568636128,0.447065645
1.66E+12,0.564714499,0.447065645
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.447065645
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.564714499,0.443144017
1.66E+12,0.568636128,0.443144017
1.66E+12,0.568636128,0.443144017
1.66E+12,0.568636128,0.443144017
1.66E+12,0.568636128,0.443144017
1.66E+12,0.572557756,0.443144017
1.66E+12,0.592165899,0.439222388
1.66E+12,0.596087527,0.439222388
1.66E+12,0.603930784,0.431379131
1.66E+12,0.619617298,0.427457503
1.66E+12,0.631382183,0.427457503
1.66E+12,0.631382183,0.427457503
1.66E+12,0.635303812,0.427457503
1.66E+12,0.635303812,0.423535875
1.66E+12,0.635303812,0.407849361
1.66E+12,0.635303812,0.407849361
1.66E+12,0.635303812,0.403927732
1.66E+12,0.631382183,0.364711447
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.356868191
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.352946562
1.66E+12,0.635303812,0.341181677
1.66E+12,0.654911954,0.286278878
1.66E+12,0.658833583,0.28235725
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.286278878
1.66E+12,0.658833583,0.28235725
1.66E+12,0.658833583,0.286278878
1.66E+12,0.584322642,0.301965392
1.66E+12,0.478438673,0.349024934
1.66E+12,0,0.43530076
1.66E+12,0,0.447065645
1.66E+12,0,0.447065645
1.66E+12,0,0.447065645
1.66E+12,0,0.466673788
1.66E+12,0,0.505890072
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.501968444
1.66E+12,0,0.505890072
