Timestamp,Score,Lives,Chaos,Level,Enemies,Bullets,AvgBtnFreq,GoalDist,StartDist,TimeElapsed,AtTower
1656602878828,31,3,39.8,0,1,0,3.9,361.08863177895813,482.26237672039065,11457,0
1656602878937,31,3,40.1,0,1,0,4.5,371.19401934837254,471.8739238398324,11566,0
1656602879050,31,3,40.4,0,0,0,5.1,382.33493170255844,460.50841468967747,11679,0
1656602879168,31,3,40.7,0,0,0,5.7,394.32473926955186,448.5755231842237,11797,0
1656602879282,31,3,41.0,0,0,0,6.8,406.0443325549564,437.85842460777206,11911,0
1656602879391,32,3,41.3,0,0,0,7.7,416.0300469918009,429.5776996074168,12020,0
1656602879498,32,3,41.6,0,0,0,7.6,424.01061307472014,421.36089044903065,12127,0
1656602879598,32,3,41.9,0,0,0,7.5,420.05832928296996,423.8502093900627,12227,0
1656602879711,32,3,42.25,0,0,0,7.0,412.27296782592964,430.7957752810489,12340,0
1656602879812,32,3,42.5,0,0,0,6.8,403.24310285484114,439.85111117286044,12441,0
1656602879923,33,3,42.8,0,1,0,7.7,391.00511505605647,453.2604108015612,12552,0
1656602880029,33,3,43.1,0,1,0,8.3,381.0839802458246,464.61274196905106,12658,0
1656602880135,33,3,43.4,0,1,0,8.5,369.13547648526,476.77772598979504,12764,0
1656602880246,33,3,43.7,0,1,0,8.5,357.0,487.2217154438008,12875,0
1656602880350,33,3,44.0,0,1,0,8.0,352.0,492.17882928870483,12979,0
1656602880467,33,3,44.3,0,1,0,8.0,352.17183305880667,493.7296831263034,13096,0
1656602880583,33,3,44.6,0,1,0,8.3,352.3634487287238,494.513902736819,13212,0
1656602880692,33,3,44.9,0,1,0,8.1,352.3634487287238,494.513902736819,13321,0
1656602880800,33,3,45.2,0,1,0,8.0,361.3543966800459,485.6346363265289,13429,0
1656602880916,34,3,45.5,0,1,0,8.2,373.53580818979054,474.4944678286566,13545,0
1656602881020,36,3,45.8,0,1,0,8.2,383.09920386239384,467.3467663309547,13649,0
1656602881125,37,3,46.1,0,1,0,7.7,393.38657831705444,458.38084602216964,13754,0
1656602881235,37,3,46.4,0,1,0,7.5,389.7396566940552,459.50516863251926,13864,0
