#Balls,#Bullets,Score,AvgBtnFreq,AvgBallDist,RatioBalls,AvgBallDir,Intensity Match,Winning Match
1,1,0,0,120,1,-0.45444,0,1
1,2,0,1,123,1,-0.44744,0,1
1,2,0,1,126,1,-0.44044,0,1
1,2,0,1,128,1,-0.43444,0,1
1,2,0,1,131,1,-0.42844,0,1
1,2,0,2,134,1,-0.42144,0,1
1,3,0,2,137,1,-0.41544,0,1
1,2,0,2,139,1,-0.40844,0,1
1,2,0,2,142,1,-0.40244,0,1
1,2,0,2,144,1,-0.39644,0,1
1,2,0,1,147,1,-0.38944,0,1
1,2,0,0,149,1,-0.38344,0,1
1,2,0,0,152,1,-0.37644,0,1
1,2,0,0,152,1,1.88174,0,1
2,1,0,0,72,1,0.93887,0,1
2,0,0,0,66,1,-0.17676,0,1
2,0,0,0,67,1,-0.17476,0,1
2,0,0,0,68,1,-0.17226,0,1
2,0,0,0,69,1,-0.16876,0,1
2,0,0,0,70,1,-0.16526,0,1
2,0,0,1,71,1,-0.16226,0,1
2,1,0,2,72,1,-0.15876,0,1
2,1,0,2,73,1,-0.15576,0,1
2,2,0,2,74,1,-0.15276,0,1
2,2,0,2,75,1,-0.14926,0,1
2,2,0,1,76,1,-0.14626,0,1
2,2,0,0,75,1,0.94457,0,1
2,2,0,0,71,1,0.94257,0,1
2,2,0,0,66,1,0.93957,0,1
2,2,0,0,59,1,0.93607,0,1
2,2,0,1,52,1,0.93257,0,1
2,3,0,2,47,1,0.92957,0,1
2,3,0,2,40,1,0.92607,0,1
2,3,0,2,34,1,0.92257,0,1
2,3,0,2,28,1,0.91957,0,1
2,3,0,1,22,1,0.91607,0,1
2,2,0,0,16,1,0.91307,0,1
2,2,0,1,10,1,0.90957,0,1
2,3,0,2,5,1,0.90657,0,1
2,3,0,2,-2,0.5,0.90307,0,1
2,3,0,2,-8,0.5,0.89957,0,1
2,3,0,2,-14,0.5,0.89607,0,1
2,3,0,2,-20,0.5,0.89307,0,1
2,4,0,2,-26,0.5,0.88957,0,1
2,4,0,2,-31,0.5,0.88657,0,1
2,3,0,2,-35,0.5,-0.81391,0,1
2,3,0,2,-32,0.5,-0.81191,0,0
2,2,0,1,-27,0.5,-0.80891,0,0
2,1,0,1,-25,0,-0.11545,0,0
2,2,0,2,-24,0,-0.11545,0,0
2,2,0,2,-24,0,-0.11545,0,0
2,2,0,2,-23,0,-0.11545,0,0
2,1,0,3,-22,0,-0.11545,0,0
2,1,0,2,-21,0.5,-0.11545,0,0
2,1,0,1,-21,0.5,-0.11545,0,0
2,2,0,2,-20,0.5,-0.11545,0,1
2,1,0,2,-19,0.5,-1.02694,0,1
2,1,0,1,-14,0.5,-1.02194,0,1
2,1,0,2,-8,0.5,-1.01594,0,1
2,1,0,2,-2,0.5,-1.00994,0,0
2,2,0,2,4,0.5,-1.00394,0,0
2,3,0,2,11,0.5,-0.99694,0,0
2,3,0,2,17,0.5,-0.99094,0,0
2,2,0,1,23,0.5,-0.98494,0,0
2,2,0,2,29,0.5,-0.97894,0,0
2,2,0,1,36,0.5,-0.97194,0,0
2,3,0,2,42,0.5,-0.96594,0,1
2,3,0,2,49,0.5,-0.95894,0,1
2,3,0,2,54,0.5,-0.95294,0,1
