Timestamp(ms)	#Balls	#Bullets	Score	AvgBtnFreq	AvgBallDist	RatioBalls	AvgBallDir
1656615295231	1	4	2	3	62	1.0	0.49509
1656615295341	1	2	2	3	60	1.0	0.49009
1656615295441	1	2	2	2	57	1.0	0.48409
1656615295553	1	2	2	1	54	1.0	0.47809
1656615295663	1	3	2	1	51	1.0	0.47209
1656615295780	1	2	2	1	56	1.0	-1.35953
1656615295892	1	2	2	1	63	1.0	-1.35453
1656615295993	1	2	2	1	71	1.0	-1.34853
1656615296095	1	3	2	3	79	1.0	-1.34253
1656615296198	1	2	2	2	87	1.0	-1.33653
1656615296300	1	2	2	2	95	1.0	-1.33053
1656615296408	1	1	2	2	100	1.0	-0.88055
1656615296512	1	2	2	2	103	1.0	-0.87655
1656615296615	1	1	2	1	108	1.0	1.84975
1656615296717	1	2	2	2	103	1.0	1.84675
1656615296824	1	2	2	2	97	1.0	1.84375
1656615296927	1	2	2	2	86	1.0	1.83775
1656615297029	1	2	2	2	75	1.0	1.83175
1656615297130	1	2	2	1	64	1.0	1.82575
1656615297232	1	2	2	0	53	1.0	1.81975
1656615297335	1	2	2	1	42	1.0	1.81375
1656615297442	1	3	2	2	32	1.0	1.80775
1656615297545	1	4	2	3	21	1.0	1.80175
1656615297648	1	3	2	3	10	1.0	1.79575
1656615297761	1	3	2	4	2	1.0	-1.02051
1656615297869	1	3	2	3	5	1.0	-1.01751
1656615297974	1	3	2	3	8	1.0	-1.01451
1656615298080	1	3	2	3	14	1.0	-1.00851
1656615298181	1	4	2	3	20	1.0	-1.00251
1656615298287	1	2	2	2	26	1.0	-0.80549
1656615298410	1	3	2	3	29	1.0	-0.80149
1656615298516	1	3	2	2	33	1.0	-0.79649
1656615298619	1	3	2	3	38	1.0	-0.79049
1656615298729	1	3	2	3	43	1.0	-0.78449
1656615298829	1	4	2	4	47	1.0	-0.77849
1656615298934	1	4	2	3	52	1.0	-0.77249
1656615299042	1	4	2	4	57	1.0	-0.76649
1656615299145	1	3	2	2	61	1.0	-0.76049
1656615299248	1	4	2	3	66	1.0	-0.75449
1656615299351	1	4	2	2	70	1.0	-0.74849
1656615299461	1	4	2	2	75	1.0	-0.74249
1656615299568	1	4	2	2	79	1.0	-0.73649
1656615299673	1	5	2	3	84	1.0	-0.73049
1656615299790	1	3	2	3	82	1.0	1.69828
1656615299909	1	3	2	3	74	1.0	1.69428
1656615300017	1	3	2	4	64	1.0	1.68828
1656615300123	1	4	2	4	54	1.0	1.68228
1656615300231	1	4	2	3	44	1.0	1.67628
1656615300351	1	2	2	2	41	1.0	0.29574
1656615300465	1	3	2	2	40	1.0	0.29274
1656615300568	1	3	2	2	38	1.0	0.28674
1656615300671	1	4	2	2	36	1.0	0.28074
1656615300778	1	1	2	2	35	1.0	0.52635
1656615300881	1	1	2	3	34	1.0	0.52435
1656615300985	1	1	2	4	32	1.0	0.52035
1656615301085	1	1	2	3	28	1.0	0.51435
1656615301189	1	2	2	3	25	1.0	0.50835
1656615301295	2	1	2	3	12	1.0	-0.10874
1656615301421	2	1	2	2	12	1.0	-0.10674
1656615301535	2	1	2	1	13	1.0	-0.10424
1656615301636	2	1	2	2	13	1.0	-0.10124
1656615301740	2	2	2	2	14	1.0	-0.09824
1656615301847	2	2	2	2	14	1.0	-0.09524
1656615301948	2	2	2	2	15	1.0	-0.09224
1656615302053	2	2	2	2	16	1.0	-0.08924
1656615302160	2	3	2	3	16	1.0	-0.08624
1656615302273	2	3	2	2	18	1.0	-0.43177
1656615302386	2	3	2	3	20	1.0	-0.42927
1656615302491	2	3	2	3	22	1.0	-0.42627
1656615302595	2	4	2	4	25	1.0	-0.42327
1656615302702	2	3	2	2	27	1.0	-0.42027
1656615302823	2	2	2	2	30	1.0	-0.67855
1656615302938	2	2	2	1	33	1.0	-0.67605
1656615303050	2	2	2	2	38	1.0	-1.05315
1656615303158	2	2	2	1	42	1.0	-1.04915
1656615303270	2	2	2	2	47	1.0	-1.04415
1656615303374	2	2	2	2	53	1.0	-1.03815
1656615303479	2	2	2	3	60	1.0	-1.03215
1656615303583	2	3	2	3	66	1.0	-1.02615
1656615303686	2	3	2	3	72	1.0	-1.02015
1656615303794	2	2	2	2	78	1.0	-1.01415
1656615303898	2	2	2	3	84	1.0	-1.00815
1656615303999	2	2	2	2	90	1.0	-1.00215
1656615304106	2	3	2	2	96	1.0	-0.99615
1656615304211	2	3	2	2	101	1.0	-0.99115
1656615304312	2	3	2	3	107	1.0	-0.04772
1656615304432	2	3	2	3	107	1.0	-0.04772
1656615304534	2	3	2	3	107	1.0	-0.04772
1656615304637	2	3	2	3	108	1.0	-0.04772
1656615304744	2	3	2	3	108	1.0	-0.04772
